Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 1,Coverage (%) Sample 2,Coverage (%) Sample 3,Coverage (%) Sample 4,Coverage (%) Sample 5,Coverage (%) Sample 6,Coverage (%) Sample 7,Coverage (%) Sample 8,Coverage (%) Sample 9,Coverage (%) Sample 10,Coverage (%) Sample 11,Coverage (%) Sample 12,Coverage (%) Sample 13,Coverage (%) Sample 14,Coverage (%) Sample 15,Coverage (%) Sample 16,Coverage (%) Sample 17,Coverage (%) Sample 18,Coverage (%) Sample 19,Coverage (%) Sample 20,Area Sample 1,Area Sample 2,Area Sample 3,Area Sample 4,Area Sample 5,Area Sample 6,Area Sample 7,Area Sample 8,Area Sample 9,Area Sample 10,Area Sample 11,Area Sample 12,Area Sample 13,Area Sample 14,Area Sample 15,Area Sample 16,Area Sample 17,Area Sample 18,Area Sample 19,Area Sample 20,#Peptides,#Unique,#Spec Sample 1,#Spec Sample 2,#Spec Sample 3,#Spec Sample 4,#Spec Sample 5,#Spec Sample 6,#Spec Sample 7,#Spec Sample 8,#Spec Sample 9,#Spec Sample 10,#Spec Sample 11,#Spec Sample 12,#Spec Sample 13,#Spec Sample 14,#Spec Sample 15,#Spec Sample 16,#Spec Sample 17,#Spec Sample 18,#Spec Sample 19,#Spec Sample 20,PTM,Avg. Mass,Description
578,1917,GROUPS_11366564,23.92,5,0,0,0,0,2,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,,,,,,,1.93E5,,,7.03E4,,8.07E4,,,,,,,,,2,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,,29053,hypothetical protein
1742,1490,KNOT_8697530,23.91,19,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,,,,,0E0,,,,,,,,,,,,4.04E5,,,,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,9667,hypothetical protein
2377,458,KNOT_22302353,23.91,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1.28E5,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,32594,Proton extrusion protein PcxA
2377,510,KNOT_14288229,23.91,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1.28E5,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,32260,Proton extrusion protein PcxA
1753,2351,KNOT_2373847,23.90,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,6.69E4,,,,,,,,,,,,,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,23139,hypothetical protein
2725,726,KNOT_4860529,23.90,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.32E4,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,39417,3-hydroxybutyryl-CoA dehydrogenase
2725,1088,KNOT_4177576,23.90,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.32E4,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,17430,Electron transport complex subunit RnfG
549,1390,KNOT_3419846,23.89,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,,,,,,,,1.19E4,,,,,,,,,,,1.11E5,2.85E5,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,,30158,hypothetical protein
1418,2839,KNOT_11424922,23.87,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,,,,,,,,,,,1.69E4,,,,,,1.59E5,,,,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Oxidation (M),32493,Ribonuclease Y
3021,1617,KNOT_448893,23.87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,7.78E4,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,76234,hypothetical protein
1393,1258,KNOT_10301549,23.87,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,,,,,,,,,,,,,,,,,8.89E4,,,3.97E5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,24339,1-acyl-sn-glycerol-3-phosphate acyltransferase
1464,2279,KNOT_5853772,23.86,8,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,3.16E5,,,,,,,,,,,,,,,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,19859,hypothetical protein
122,664,GROUPS_13989282,23.83,3,3,3,0,0,0,0,3,3,3,3,3,0,0,0,0,0,0,0,0,0,5.54E5,1.31E6,,,,,3.6E6,5.74E6,2.4E5,2.29E5,1.14E5,,,,,,,,,,1,1,1,3,0,0,0,0,2,2,1,1,1,0,0,0,0,0,0,0,0,0,,29412,hypothetical protein
1168,2277,GROUPS_6666386,23.82,4,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,1.52E4,,,,,,,,,,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,66702,hypothetical protein
1713,3186,GROUPS_16246530,23.81,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,,,,,,,,,,,6.96E4,,,,,,,,,,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,Oxidation (M),28025,Sensor protein FixL
796,389,KNOT_32743368,23.81,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2.55E4,6.7E4,,,,,,,,,,,,,,,,,,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,36175,Aspartate-semialdehyde dehydrogenase
1884,3442,KNOT_11474722,23.77,11,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,,,,,,,,,,,,,,,,,1.26E5,,,,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,17676,hypothetical protein
1781,598,GROUPS_1639426,23.76,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61E6,1.53E6,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,25154,hypothetical protein
2013,553,KNOT_19968096,23.73,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0E0,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,99472,hypothetical protein
3429,4541,KNOT_4677377,23.71,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,,,,,,,,,,,,,,,,,6.39E5,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,17399,Regulatory protein AsnC
956,1123,GROUPS_13155465,23.71,4,0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,,8.14E4,,,,,2.33E5,1.53E5,,,,,,,,,,,,,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,22827,hypothetical protein
1866,6602,GROUPS_13883670,23.71,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,,,,,,,,,,,,,,,,,,,1.96E5,1.2E5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,23283,hypothetical protein
376,457,KNOT_11164209,23.68,6,6,6,6,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2.9E5,1.73E5,2.29E6,5.15E6,,,,,,5.63E4,,,,,,,,,,,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Carbamidomethylation,29917,hypothetical protein
1805,2076,GROUPS_12234553,23.66,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,,,,,,,,,,,,,,,,,6.95E5,,,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,31577,Dipeptidyl aminopeptidase 4
615,962,KNOT_2052226,23.65,4,0,0,0,4,0,0,0,4,4,0,4,0,0,0,0,0,0,0,0,0,,,,0E0,,,,7.29E6,3.98E5,,1.72E6,,,,,,,,,,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,,24781,Dipeptidyl aminopeptidase 4
1506,2157,KNOT_23087534,23.64,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,51992,hypothetical protein
1893,5443,GROUPS_8519123,23.63,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,8,,,,,,,,,,,,,,,,1.37E4,,,,1.23E5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,,11451,hypothetical protein
1225,2637,KNOT_6961074,23.62,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,,,,,,,,,,,,,,,,,0E0,,,,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,58144,ATP-dependent Clp protease ATP-binding subunit ClpC
1768,3710,KNOT_2576538,23.62,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,,,,,,,,,,,,,,,,,1.24E5,,,,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,Oxidation (M),50642,Na(+)/H(+)-K(+) antiporter GerN
1217,1909,GROUPS_11714623,23.61,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,,,,,,,,,,,,,,,,,0E0,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,35189,putative cysteine desulfurase
3934,4255,GROUPS_2347353,23.57,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,,,,,,,,,,,,,,,,,,,6.17E4,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,31230,hypothetical protein
1546,1646,KNOT_13222493,23.57,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,,,,,,,,,,,,,,,,,4.77E5,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,26072,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
3316,633,KNOT_5433059,23.56,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5.55E2,,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,34143,hypothetical protein
1733,660,KNOT_19912615,23.56,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,1.22E4,,,,,,,,,,,,6.77E4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,,45167,GDP-mannose-dependent alpha-(1-6)-phosphatidylinositol monomannoside mannosyltransferase
1721,4156,KNOT_22007224,23.55,6,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,,,,,,,,,,9.35E3,,4.64E4,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,25487,hypothetical protein
2431,4043,KNOT_2393669,23.54,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,,,,,,,,,,,,,,,,,3.31E5,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,45740,hypothetical protein
1248,2267,KNOT_33770646,23.53,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3.26E5,,3.52E6,,,,,,,,,,,,,,,2,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Oxidation (M),89073,DNA topoisomerase 1
2819,3773,KNOT_3763851,23.53,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,,,,,,,,,,,,,,,,1.73E3,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Oxidation (M),33763,hypothetical protein
2865,1593,GROUPS_3694603,23.51,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,,,,,,,,,,,,,,,,,3.82E5,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,48054,hypothetical protein
700,637,KNOT_22064976,23.47,2,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,,,,,,,,4.91E4,,,7.15E3,1.05E4,,,,,,,,,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,,35330,hypothetical protein
1479,3365,KNOT_17343439,23.46,18,8,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1.65E6,,,,,,,1.44E5,,,,,,,,,,,,,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Oxidation (M),24902,Pyruvate dehydrogenase E1 component subunit beta
1252,2410,KNOT_319392,23.46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,1.21E5,9.17E4,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,95801,Aerobic respiration control sensor protein ArcB
1679,623,KNOT_2745814,23.46,6,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,,9.05E4,,,,,,2.2E5,,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,14122,hypothetical protein
2948,3942,KNOT_995534,23.43,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,,,,,,,,,,,,3.81E4,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,31077,Glutamyl-tRNA(Gln) amidotransferase subunit A
1659,2249,KNOT_2191032,23.40,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,,8.43E5,,,,,,,,,,,,,,,5.1E5,,,,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,32966,hypothetical protein
2529,1522,KNOT_3182016,23.39,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,,,,,,,,,,,,,,,,3.25E5,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,31962,hypothetical protein
1220,2058,KNOT_3264256,23.37,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,,,,,,,,,,,,,,,,9.79E4,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,47023,hypothetical protein
1463,2111,GROUPS_14116730,23.37,4,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,,,,,,,,,,,,1.37E3,,,,,,,,,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Oxidation (M),53355,hypothetical protein
4064,2160,KNOT_4352553,23.36,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,,,,,,,,,,,,,,,,,,,,4.02E5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,16241,ATP-dependent Clp protease ATP-binding subunit ClpC
1372,2805,GROUPS_2426664,23.34,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,,,,,,,,,,,,,,,6.99E5,3.98E5,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,64923,hypothetical protein
3686,1779,KNOT_1954655,23.34,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,,,,,,,,,,,,,,,,,4.61E5,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,18966,hypothetical protein
3686,7276,KNOT_22399745,23.34,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,,,,,,,,,,,,,,,,,4.61E5,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,13394,Aconitate isomerase
1563,2617,KNOT_5684098,23.33,4,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,3.22E5,,,,,,,,1.89E5,,,,,,,,,,,2,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,49900,hypothetical protein
2996,508,KNOT_5842075,23.32,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,7.33E4,,,,,,,,,,,,,,,,,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,62608,Modification methylase Eco57IB
1462,2079,KNOT_4459829,23.32,9,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,,,0E0,,,,,,,,,,,,,1.18E4,,,,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Oxidation (M),26174,Aconitate isomerase
1717,3809,KNOT_34370791,23.31,11,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5,0,0,,,,,,,9.37E4,,,,,,,,,,,2.25E5,,,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,21341,hypothetical protein
3313,478,KNOT_32697815,23.31,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3.69E4,,,,,,,,,,,,,,,,,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,19936,hypothetical protein
1573,3884,KNOT_1353475,23.29,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,,,,,,,7.41E5,,,,,,,,,3.5E4,,,,,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,,36832,hypothetical protein
1376,2914,KNOT_20050393,23.25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,1.27E5,,3.3E4,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,105214,hypothetical protein
1708,2607,KNOT_28540166,23.25,4,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72E4,,,3.37E5,,,,,,,,,,,,,,,,,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,34236,hypothetical protein
2184,2167,KNOT_1539223,23.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,3.3E5,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,81706,hypothetical protein
970,545,GROUPS_14873598,23.23,5,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.85E5,1.9E5,,8.24E5,,,,,,,,,,,,,,,,,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,25160,hypothetical protein
843,800,KNOT_30733322,23.22,3,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3.92E5,5.68E5,,,,,,6.1E5,,,,,,,,,,,,,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,33025,hypothetical protein
2588,3811,KNOT_3438743,23.22,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,,,,,,,,,,,,,2.32E5,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,35061,hypothetical protein
3867,1096,KNOT_4474253,23.22,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0E0,,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,14197,hypothetical protein
2879,2130,GROUPS_14405500,23.22,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,,,,,,,,,,,,,,,,,3.87E5,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,9095,hypothetical protein
1611,2340,GROUPS_16057852,23.21,5,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.46E3,,,4.69E4,,,,,,,,,,,,,,,,,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,43558,hypothetical protein
1677,6236,GROUPS_439415,23.18,12,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,0,0,0,0,0,,,,,,,,,,,,2.53E5,,,6E4,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Oxidation (M),31903,D-beta-hydroxybutyrate dehydrogenase
4194,1176,GROUPS_15119165,23.14,12,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,8.39E4,,,,,,,,,,,,,,,,,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Oxidation (M),7594,hypothetical protein
1955,601,KNOT_3533770,23.14,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,6.24E4,,,,,,,,,,,,,,,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carbamidomethylation,49846,Inosine-5'-monophosphate dehydrogenase
1155,2400,KNOT_3035698,23.12,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,4.08E5,,,,,,,,,,,,,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,63268,Type I secretion system ATP-binding protein PrsD
1609,2152,GROUPS_5712703,23.11,12,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,,,,1.92E4,,,,,,,,,,,,,8.5E4,,,,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,17444,hypothetical protein
1901,2048,KNOT_2134499,23.09,14,0,0,0,0,7,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,,,,,0E0,,,,,3.6E4,,,,,,,,,,,2,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Carbamidomethylation,23111,hypothetical protein
1747,1830,KNOT_2401954,23.08,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,,,,0E0,,,,,,,,,,,,4.63E4,,,,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,50996,hypothetical protein
620,1640,KNOT_23985627,23.05,14,0,0,14,0,0,14,0,0,0,14,0,14,0,0,0,0,0,0,0,0,,,7.52E4,,,5.93E4,,,,6.04E5,,1.71E5,,,,,,,,,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,6670,Elongation factor G
620,1641,KNOT_13929030,23.05,11,0,0,11,0,0,11,0,0,0,11,0,11,0,0,0,0,0,0,0,0,,,7.52E4,,,5.93E4,,,,6.04E5,,1.71E5,,,,,,,,,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,8366,Elongation factor G
1421,2878,GROUPS_13921370,23.03,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.92E4,6.9E3,,,,,,,,,,,,,,,,,,,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,49221,Lipopolysaccharide assembly protein B
2327,1833,KNOT_21573137,23.02,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,,,,,,,,,,,,,4.49E2,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,35975,hypothetical protein
4095,4571,KNOT_8100649,23.01,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,,,,,,,,,,,,,,,,0E0,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,14996,Yop proteins translocation protein U
4026,9249,KNOT_6649373,23.00,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,,,,,,,,,,,,,,,,,2.2E3,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,19012,ATP synthase subunit delta
1134,3554,GROUPS_11555541,22.99,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,2.01E4,,,,,,,,,,1.25E5,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,,46203,hypothetical protein
4242,9239,GROUPS_12041197,22.97,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,,,,,,,,,,,,,,,,,,1.47E5,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,21822,hypothetical protein
4047,898,KNOT_27822312,22.97,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0E0,,,,,,,,,,,,,,,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,17552,Cytidine deaminase
3028,1972,GROUPS_8492436,22.94,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,,,,,,,,,,,,,,,,,,,,7.69E4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,11604,hypothetical protein
2786,2952,KNOT_16492833,22.92,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.87E4,,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Oxidation (M),22265,hypothetical protein
1268,1811,KNOT_5306649,22.89,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,,,,,,,,,,,,,,,,,9.77E4,,,,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,35823,hypothetical protein
2216,551,GROUPS_14085069,22.88,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2.17E8,,,,,,,,,,,,,,,,,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,21378,ECF RNA polymerase sigma factor SigW
535,1673,KNOT_5153933,22.87,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,,,,,9.14E4,,,,,,,,,,,,5.03E5,,,,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,,23906,Modulator of FtsH protease HflC
